front,back
decease,死亡
deceased,故人
default,債務不履行
delinquent,非行少年
demise,死亡 消滅
denim,デニム
detector,探知器
detention,勾留
deterrent ,戦争抑止力
dexterity,器用さ 機敏さ
diarrhea,下痢
diesel,ディーゼル
dietary,食糧
discrepancy,食い違い 不一致
dishonesty,不正直
disquiet,動揺
dominion,支配権 支配
dripping,滴下 したたり
dropping,一滴 しずく
drummer,ドラム奏者
duckling,アヒルの子
duet,デュエット
duo,２人組
electorate,有権者
embargo,通商禁止
embryo,胎児 胚
entitlement,権利 資格
envoy,使節 使者
enzyme,酵素
eradicate,根絶する
erection,直立 起立
erratic,不規則な 風変わりな
exaltation,有頂点
exodus,大量移住
expectancy,期待 予期
expectant,志望者
exposition,展覧会
facade,かけ 外見
facet,宝石の小面
facing,へり取り 縁飾り
fanatic,狂信者
fatty,でぶちゃん
fervor,熱情 白熱
fidelity,忠誠
fineness,洗練
firing,発火
fixing,修理 固定
flank,わき腹
flare,炎の輝き
flick,映画
flint,火打ち石
flooring,床材
flop,ばたばたする音
floppy,フロッピーディスク
flowering,開花
foothold,足がかり
foresight,先見の明
fortress,要塞
fracture,骨折
franchise,選挙権 販売権
fraternity,兄弟愛 友愛
frenzy,乱心 熱狂 狂乱
frill,余分な飾り 虚飾
fugitive,逃亡者
fume,煙
fundraising,資金調達
fungus,真菌類 菌類
gadget,便利な小道具
gag,口止め
gee,まあ
generality,概略 概論
gig,請負などの仕事
gin,〔酒の〕ジン
glamour,魅力 性的魅力
gland,腺
gloss,光沢
glossary,用語集
granite,花崗岩
gravitation,引力 重力
grenade,手榴弾 催涙弾
greyhound,快速の猟犬
grievance,苦情
grimace,しかめっ面
groove,溝
guild,同業組合
gymnastics,体育 体操
handiwork,手仕事 仕業
havoc,大破壊
headteacher,校⻑
heartache,心痛
heartbreak,断腸の思い
hectare,ヘクタール
helm,操舵装置
hog,豚
homestead,農場
huddle,群れ 寄せ集め
hue,色合い 色彩
hype,ごまかし 誇大広告
hysteria,病的興奮 熱狂
iceberg,氷山
impediment,障害
imperative,命令法
imperialist,帝国主義者
impetus,刺激
inaugural,就任演説
inauguration,就任
incumbent,現職者
indictment,起訴
indigestion,消化不良
inertia,慣性 惰性 不活発
infantry,歩兵
influenza,インフルエンザ
influx,流入
ingratitude,感謝しないこと
inhibition,抑制 抑圧
inmate,収容者 同室者
innermost,最も内側の部分
instability,不安定 不安定状態
installment,分割払いの一回分
insurer,保険会社・業者
intermediary,媒介者 媒介 手段
interrogation,尋問
ion,イオン
jargon,専門語
jumbo,巨大なもの
lance,槍 槍騎兵
larva,幼虫（単数）
laurel,月桂冠 栄誉
lawmaking,立法
leaning,傾き
legislator,立法者 立法府の議員
leverage,てこの作用 影響力
liaison,連絡
lilac,薄紫色
lineup,構成 番組予定表
liquidity,流動資金
livestock,家畜
locust,バッタ
loft,屋根裏
logo,ロゴ モットー
loom,はた織り機
loot,戦利品 盗品
lull,小康
mainframe,大型コンピューター
malt,⻨芽酒
mandate,委任 権限
mania,異常な熱中
maniac,狂人 熱中者
mantelpiece,マントルピース 炉棚
manure,肥料
margarine,マーガリン
martyr,殉教者
maternity,母であること 母性
mediation,調停
mentor,良き指導者
mermaid,（女の）人魚 マーメイド
methodology,方法 やり方
midland,中部
midsummer,夏至
midwife,助産婦
militia,⺠兵
millstone,ひき臼
mince,こま切れ肉
misconception,見当違いの考え
misconduct,不正行為
mishap,災難
modernism,現代主義 モダニズム
modernist,現代主義者
monastery,修道院
monotone,一本調子 単調さ
moratorium,支払猶予期間
mortar,モルタル しっくい
mosque,イスラム教寺院
motel,モーテル 《旅行者の宿泊所
mountaineer,登山家 山岳⺠
muddle,混乱
mug,マグ
muster,召集
narcotic,麻酔剤 麻薬
naturalist,自然主義者 博物学者
neon,ネオン 《元素記号 Ne》
neutron,中性子
newsagent,新聞販売業者
niche,ニッチ市場 隙間産業
nominee,指名された人
noonday,正午
nostalgia,郷愁 懐かしさ
notch,刻み目
nuance,微妙な差異
nymph,妖精
oatmeal,オートミール
occult,神秘 オカルトの
octave,オクターブ
onset,開始 着手
orthodoxy,正統派
outburst,爆発 ほとばしり
outcast,追い出された人
outcry,叫び 抗議
outset,最初
overhaul,精密検査
overpopulation,人口過剰
override,無効にすること
overrun,超過
pacifist,平和主義者
padding,水増し
